ProfileName,TransactionDate,TransactionAmount,TransactionNarrative,TransactionDescription,TransactionID,TransactionType,WalletReference
Card Campaign,1/12/2014 14:47,-39405,578939 WIMPY PHAKALANE    BOTSWANA      BW,DEDUCT,2.84012E+14,0,P_NzI2NDM5OTlfMTM4MzY1MzIwNS4yMzQ=
Card Campaign,1/12/2014 14:55,-20000,GRAND PALM ATM            BOTSWANA      BW,DEDUCT,5.84012E+14,1,P_NzIxMDg3MDZfMTM4NDYwMTc1NS4yNjIy
Card Campaign,1/12/2014 14:55,-6000,Sunset Butchery 100343    Francistown   BW,DEDUCT,8.40125E+13,0,P_NzI4Njk3MTBfMTM4MTQ5MTEwNy4wNTMy
Card Campaign,1/12/2014 14:57,-10000,PALAPYE BRANCH 2          PAL           BW,DEDUCT,3.04012E+14,1,P_NzI5OTQ5NDRfMTM4NDE2MjA2Ny45NjUy
Card Campaign,1/12/2014 14:57,-10000,AIRPORT JUNCTION BRANCH   GABORONE      BW,DEDUCT,4.64012E+14,1,P_NzY1NDkxNjVfMTM4NzU0Mjg5OC40OTk1
Card Campaign,1/12/2014 14:57,-10000,AIRPORT JUNCTION ATM      GABORONE      BW,DEDUCT,3.84012E+14,1,P_NzQ0MjAwMTZfMTM3OTU5MjE3OS44OTI2
Card Campaign,1/12/2014 14:58,-10000,MAHALAPYE BRANCH          BOTSWANA      BW,DEDUCT,5.84012E+14,1,P_NzUzMDAzODVfMTM4NzI4MTQ5NC4zNzI2
Card Campaign,1/12/2014 15:02,-10000,MOLEPOLOLE BRANCH 2       GABORONE      BW,DEDUCT,3.04012E+14,1,P_NzI2NzA1NjhfMTM4MjQzMzE2OC41Mjk3
Card Campaign,1/12/2014 15:03,-6984,128552 P G TIMBERS MAUN   BOTSWANA      BW,DEDUCT,8.40124E+13,0,
Card Campaign,1/12/2014 15:09,-3880,370592 ENGEN LOBATSE      BOTSWANA      BW,DEDUCT,1.64012E+14,0,P_NzUzNDA5MjRfMTM4MDg4NDc0OC4yNjA1
